Prob_ID;SMILES;cekirdek_Yapı;Yapısal_ozellikler;Hedef_Analit;Fotofiziksel_Mekanizma;Lambda_abs_nm;Lambda_em_nm;Emisyon_Bolgesi;Biyolojik_Model;Subseluler_Lokalizasyon;Goruntuleme_Tipi;Ana_Biyogoruntuleme_Sonuc;Yapı_ozellik_Notları
Methoxycarbazole;COc1ccc2c(c1)c3ccccc3n2;Metoksi karbazol;Elektron verici;Polarite;ICT;320.0;440.0;420–460;MCF-7;Sitoplazma;CLSM;Ortam polaritesine duyarlı;Donor etkisi
Carbazole-Stilbene;c1ccc2c(c1)n(c3ccccc3)c4ccc(/C=C/c5ccccc5)cc24;Karbazol–stilben;Uzamış konjugasyon;Viskozite;ICT;335.0;470.0;450–490;MCF-7;Sitoplazma;CLSM;Rijit ortamda güçlü emisyon;Geniş π-sistem
Carbazole-TPA;c1ccc2c(c1)n(c3ccccc3)c4ccc(N(c5ccccc5)c6ccccc6)cc24;Karbazol–TPA;D–π–D yapı;Membran potansiyeli;ICT;350.0;510.0;490–530;HeLa;Mitokondri;CLSM;Potansiyele duyarlı sinyal;Güçlü donor
Carbazole-ZnComplex;[Zn]n1c(c2ccc3c(c2)n(c4ccccc4)cc3)c5ccccc15;Karbazol–Zn(II);Metal kompleks;Zn²⁺;CHEF;380.0;580.0;560–600;HepG2;Sitoplazma;CLSM;Zn²⁺ seçici;Kompleks yapı
Carbazole-CuComplex;[Cu]n1c(c2ccc3c(c2)n(c4ccccc4)cc3)c5ccccc15;Karbazol–Cu(II);Paramanyetik;Cu²⁺;CHEQ;375.0;545.0;525–565;HepG2;Sitoplazma;CLSM;Floresans sönümlenmesi;Cu²⁺ quenching
CuCM;COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O;Karbazol temelli Cu2+ probu (2P uygun);"Karbazol çekirdeği + Cu2+ bağlayan ünite; iki-foton uyarıma uygun";Cu2+;Koordinasyon-indüklü floresans değişimi;422.0;539.0;HeLa hücreleri;;İki-foton konfokal (ex 860 nm);HeLa hücrelerinde iki-foton görüntüleme ile Cu2+ yanıtı izlendi.;İki-foton biyogörüntüleme protokolü: 10 µM prob, 15 µM Cu2+.;
3b;C1CCCCC1CCNC(=O)NC2=CC3=NC=CS3=CC2;Benzotiyazol;Üre köprüsü, alifatik zincir, heterosiklik aromatik;Non-spesifik;ICT;360.0;450.0;Hücre hattı;Sitoplazma;Floresans mikroskopi;Orta şiddette stabil floresans;Üre köprüsü yapısal esneklik sağlar;
FO_Cz3;c1ccc2c(c1)c3ccccc3n2c4ccc(cc4)N(c5ccc(cc5)n6c7ccccc7c8c6cccc8)c9ccc(cc9)n1c2ccccc2c3c1cccc3;Çoklu Karbazol;Çoklu karbazol, yüksek konjugasyon, D–A–D yapı;Non-spesifik;Güçlü ICT;300.0;580.0;Hücre hattı;Sitoplazma;Floresans mikroskopi;Yüksek yoğunluklu floresans;Çoklu donör sistem emisyonu güçlendirir;
Carbazole-Benzothiazole;c1ccc2c(c1)n(-c3ccccc3)c4ccc(c5nc6ccccc6s5)cc42;Karbazol–benzotiyazol;D–π–A;ROS;ICT;365.0;540.0;520–560;HepG2;Mitokondri;CLSM;ROS artışıyla sinyal yükseldi;Akseptör içeren
Carbazole-Coumarin;c1ccc2c(c1)n(-c3ccccc3)c4ccc(c5ccc6oc(=O)ccc6o5)cc42;Karbazol–kumarin;Dual-emisyon;Polarite;FRET;330.0;460.0;440–480;MCF-7;Sitoplazma;CLSM;Ortam duyarlı çift emisyon;Hibrit florofor
Carbazole-Thiophene;c1ccc2c(c1)n(-c3ccccc3)c4ccc(c5ccsc5)cc42;Karbazol–tiyofen;Heteroaromatik köprü;İyonik güç;ICT;340.0;475.0;455–495;A549;Sitoplazma;CLSM;İyonik ortam duyarlılığı;π-köprü
Carbazole-Pyridine;c1ccc2c(c1)n(-c3ccccc3)c4ccc(c5ncccc5)cc42;Karbazol–piridin;Bazik heterohalka;pH;ICT;338.0;480.0;460–500;HeLa;Çekirdek;CLSM;Çekirdek lokalizasyonu;Bazik halka
Carbazole-Quinoline;c1ccc2c(c1)n(-c3ccccc3)c4ccc(c5cccc6ccccc56)cc42;Karbazol–kinolin;Geniş aromatik;DNA;ICT;360.0;525.0;505–545;HeLa;Çekirdek;CLSM;DNA etkileşimi;Planar yapı
Carbazole-Indole;c1ccc2c(c1)n(-c3ccccc3)c4ccc(c5cc[nH]c6ccccc56)cc42;Karbazol–indol;Biyomimetik yapı;Protein;ICT;345.0;500.0;480–520;HepG2;Sitoplazma;CLSM;Protein bağlanması;Doğal motif
Carbazole-Indolium;c1ccc2c(c1)n(-c3ccccc3)c4ccc(/C=C/[N+]5(CC)C=CC6=CC=CC=C56)cc42;Karbazol–indolyum;NIR florofor;Metabolizma;ICT;420.0;680.0;650–720;HeLa;Sitoplazma;CLSM;NIR hücre görüntüleme;D–π–A NIR
Carbazole-Cyanine;c1ccc2c(c1)n(-c3ccccc3)c4ccc(/C=C/C=C/[N+]5(C)C=CC6=CC=CC=C56)cc42;Karbazol–siyanin;Uzun π-zincir;Mitokondri;ICT;450.0;720.0;700–760;A549;Mitokondri;CLSM;Derin doku uygun;NIR-II sınırı
Carbazole-Perimidine;c1ccc2c(c1)n(-c3ccccc3)c4ccc(c5n6cccc6nc5)cc42;Karbazol–perimidin;Geniş heterosistem;pH;ICT;355.0;530.0;510–550;HeLa;Çekirdek;CLSM;pH duyarlı çekirdek sinyali;Azotça zengin
Carbazole-Triazine;c1ccc2c(c1)n(-c3ccccc3)c4ccc(c5ncncn5)cc42;Karbazol–triazin;Elektron fakir;Anyon;ICT;365.0;550.0;530–570;MCF-7;Sitoplazma;CLSM;Anyon bağlanması;Akseptör merkez
Carbazole-Phenanthroline;c1ccc2c(c1)n(-c3ccccc3)c4ccc(c5nc6ccccc6nc5)cc42;Karbazol–fenantroline;Metal bağlayıcı;Metal iyonu;CHEF;370.0;565.0;545–585;HeLa;Sitoplazma;CLSM;Metal ile floresans artışı;Şelatlayıcı
Carbazole-AIEgen;c1ccc2c(c1)n(-c3ccccc3)c4ccc(C(C)(C)C)cc42;Karbazol–AIE;Sterik engel;Agregasyon;AIE;330.0;470.0;450–490;A549;Sitoplazma;CLSM;Agregasyonda parlaklık;AIE aktif
Carbazole-LipidProbe;c1ccc2c(c1)n(-c3ccccc3)c4ccc(CCCCCCCC)cc42;Karbazol–alkil;Uzun alkil zincir;Lipid;ICT;325.0;455.0;435–475;HeLa;Hücre zarı;CLSM;Zar seçiciliği;Lipofilik
Carbazole-NucleusProbe;c1ccc2c(c1)n(-c3ccccc3)c4ccc(N=C(N)N)cc42;Karbazol–guanidin;Pozitif yük;DNA;ICT;340.0;505.0;485–525;HeLa;Çekirdek;CLSM;DNA-bağlanma;Bazik grup
Carbazole-NIRProbe;c1ccc2c(c1)n(-c3ccccc3)c4ccc(C=CC=CC=C)cc42;Karbazol–polien;Uzamış π;Doku;ICT;460.0;760.0;740–800;HeLa;Sitoplazma;CLSM;Derin doku uygun;NIR-emisyon
Carbazole-DeepRed;c1ccc2c(c1)n(-c3ccccc3)c4ccc(C=Cc5ccc(C=C)cc5)cc42;Karbazol–extended;Kırmızı emisyon;Hücre;ICT;410.0;650.0;630–680;A549;Sitoplazma;CLSM;Kırmızı kanal görüntüleme;Geniş konjugasyon
Carbazole-PhotoSwitch;c1ccc2c(c1)n(-c3ccccc3)c4ccc(N=N)cc42;Karbazol–azo;Fotoizomer;Işık;Photoswitch;360.0;540.0;520–560;HeLa;Sitoplazma;CLSM;Işıkla sinyal kontrolü;Azo bağ
Carbazole-pHProbe;c1ccc2c(c1)n(-c3ccccc3)c4ccc(C(=O)O)cc42;Karbazol–karboksil;Asidik uç;pH;PET;305.0;430.0;410–450;HeLa;Lizozom;CLSM;pH-bağımlı floresans;Protonlanma
Carbazole-IonProbe;c1ccc2c(c1)n(-c3ccccc3)c4ccc(OCCO)cc42;Karbazol–eter;İyon bağlayıcı;K⁺;ICT;325.0;450.0;430–470;MCF-7;Sitoplazma;CLSM;İyon duyarlılığı;Eter köprü
Carbazole-ProteinProbe;c1ccc2c(c1)n(-c3ccccc3)c4ccc(C(=O)N)cc42;Karbazol–amid;Protein afinitesi;Protein;ICT;335.0;470.0;450–490;HepG2;Sitoplazma;CLSM;Protein seçiciliği;Amid bağ
Carbazole-ApoptosisProbe;c1ccc2c(c1)n(-c3ccccc3)c4ccc(C=O)cc42;Karbazol–aldehit;Reaktif grup;Apoptoz;ICT;340.0;480.0;460–500;HeLa;Mitokondri;CLSM;Apoptoz sırasında artış;Reaktif uç
